ROS Time (s), GPS Week, GPS TOW (s), Latitude (deg), Longitude (deg), Altitude (m), East Velocity (m/s), North Velocity (m/s), Up Velocity (m/s), Roll (deg), Pitch (deg), Heading (deg)
1556456283.924171925,2051,46699.000000000,22.301155545,114.179000313,6.613695497,-0.007898935,0.003768520,-0.006062907,-1.295129518,0.292010372,228.019929379
1556456284.924304008,2051,46700.000000000,22.301155461,114.179000322,6.605289413,0.000415852,-0.004189932,-0.001974956,-1.294477078,0.291912448,228.022362634
1556456285.924423933,2051,46701.000000000,22.301155379,114.179000332,6.595892898,-0.000457295,0.001368721,-0.002814018,-1.299815820,0.284552578,228.022167091
1556456286.924551010,2051,46702.000000000,22.301155296,114.179000344,6.585281514,0.006153338,-0.014744478,0.003917684,-1.314480498,0.283995401,228.019265849
1556456287.924627066,2051,46703.000000000,22.301155215,114.179000355,6.574341735,0.004364384,-0.013179271,0.004791493,-1.303140550,0.284604589,228.022845043
1556456288.924624920,2051,46704.000000000,22.301155140,114.179000365,6.563624927,-0.002852721,-0.004012374,0.001908780,-1.298120133,0.287310453,228.024081639
1556456289.924813986,2051,46705.000000000,22.301155072,114.179000374,6.553342131,-0.001334389,-0.005551776,-0.001292761,-1.301004536,0.292182334,228.023988746
1556456290.924880981,2051,46706.000000000,22.301155010,114.179000381,6.543579919,-0.000016460,-0.002394850,0.003806366,-1.300923730,0.289780097,228.027456231
1556456291.924118042,2051,46707.000000000,22.301154954,114.179000388,6.534391937,-0.001221043,0.003301913,-0.000764013,-1.299234647,0.296236796,228.025057507
1556456292.924206972,2051,46708.000000000,22.301154904,114.179000394,6.525846097,0.001510071,-0.001353301,0.001847343,-1.295299288,0.293993305,228.027420645
1556456293.924559116,2051,46709.000000000,22.301154858,114.179000401,6.518007258,0.001152879,-0.004228989,0.008545792,-1.302012397,0.290128545,228.025359955
1556456294.924405098,2051,46710.000000000,22.301154815,114.179000408,6.510907775,-0.000312048,-0.002457111,0.005044697,-1.302429952,0.290870800,228.027403047
1556456295.924468994,2051,46711.000000000,22.301154777,114.179000414,6.504460951,0.003401106,0.002032566,-0.006266739,-1.299437340,0.300637159,228.021881833
1556456296.924593925,2051,46712.000000000,22.301154742,114.179000418,6.498629067,-0.004152490,0.004050084,0.000382751,-1.277660141,0.300815699,228.027508282
1556456297.924674988,2051,46713.000000000,22.301154709,114.179000421,6.493314451,0.000199960,-0.007317857,0.004924664,-1.291833161,0.300719059,228.028047160
1556456298.924798012,2051,46714.000000000,22.301154677,114.179000425,6.488503497,0.003254395,-0.008508875,0.009589034,-1.304727775,0.299619488,228.030992436
1556456299.925060034,2051,46715.000000000,22.301154647,114.179000429,6.484133431,-0.003588882,0.003123838,0.003086118,-1.285323514,0.306921079,228.031168155
1556456300.924041033,2051,46716.000000000,22.301154617,114.179000434,6.480059386,-0.003454055,-0.000947728,-0.004727159,-1.302493857,0.314153347,228.038511520
1556456301.924098015,2051,46717.000000000,22.301154589,114.179000439,6.476213603,0.000959942,0.000667170,-0.004879047,-1.289864807,0.312842772,228.037205755
1556456302.924155951,2051,46718.000000000,22.301154562,114.179000447,6.472592389,0.001279977,0.002975432,-0.001895287,-1.283571593,0.310583870,228.037986978
1556456303.924243927,2051,46719.000000000,22.301154537,114.179000455,6.469218013,0.001750441,0.000490850,0.002515888,-1.286642652,0.308240142,228.038457463
1556456304.924359083,2051,46720.000000000,22.301154512,114.179000464,6.466066525,0.004564176,-0.005438311,0.002227462,-1.284550089,0.304097177,228.038638148
1556456305.924711943,2051,46721.000000000,22.301154486,114.179000474,6.463121893,0.005453090,-0.009885914,0.005741759,-1.279899249,0.305980443,228.039292848
1556456306.924617052,2051,46722.000000000,22.301154462,114.179000483,6.460401025,0.000824249,-0.001905502,0.003684175,-1.276916806,0.304097042,228.040703888
1556456307.924771070,2051,46723.000000000,22.301154439,114.179000492,6.457900452,-0.006626217,0.003405114,0.002175763,-1.279409277,0.301942629,228.037761949
1556456308.924829960,2051,46724.000000000,22.301154417,114.179000501,6.455587722,-0.000523348,0.000580147,-0.000378974,-1.282193200,0.310651481,228.042593033
1556456309.923917055,2051,46725.000000000,22.301154379,114.179000490,6.453418803,-0.220939577,-0.187978322,0.004628351,-1.245954373,0.387505075,228.051627559
1556456310.984065056,2051,46726.000000000,22.301149574,114.178995775,6.375703372,-0.779760423,-0.687866840,0.003768980,-1.227542919,0.484937721,228.143580738
1556456311.924103975,2051,46727.000000000,22.301140736,114.178984940,6.376340935,-1.397596614,-1.204367196,0.014623467,-1.292651440,0.361187544,227.990068733
1556456312.924170971,2051,46728.000000000,22.301127948,114.178969587,6.376166226,-1.747427457,-1.616019250,-0.011320719,-1.243872547,0.588537813,226.879651033
1556456313.924314976,2051,46729.000000000,22.301112473,114.178951930,6.384449633,-1.722011185,-1.695637083,0.022428408,-0.859556879,0.111007589,224.743857231
