GPS TOW (s), GPS Week, Latitude (deg), Longitude (deg), Ellipsoid Height (m), ECEF X (m), ECEF Y (m), ECEF Z (m), Roll (deg), Pitch (deg), Heading (deg), Velocity X (m/s), Velocity Y (m/s), Velocity Z (m/s), Acceleration X (m/s^2), Acceleration Y (m/s^2), Acceleration Z (m/s^2), Angular rate X (rad/s), Angular rate Y (rad/s), Angular rate Z (rad/s)
273375.10, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.511332, 1.714764, 326.649944, 0.003000, -0.000000, 0.000000, -0.17517300, -0.04017600, -0.12864900, 0.00182900000, 0.00099200000, 0.00037100000
273375.20, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.510209, 1.716332, 326.650903, -0.001000, -0.003000, 0.002000, 0.09731100, 0.00640500, -0.10055700, -0.00098200000, -0.00013900000, 0.00022900000
273375.30, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.511738, 1.715360, 326.650709, -0.004000, 0.003000, -0.003000, 0.07764100, 0.00183200, 0.17685000, -0.00038900000, -0.00172700000, -0.00066200000
273375.40, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.509344, 1.715168, 326.650174, 0.003000, 0.000000, -0.000000, -0.18142700, 0.01004500, -0.14535600, 0.00203100000, 0.00015500000, 0.00051700000
273375.50, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.510240, 1.716274, 326.651083, -0.004000, -0.002000, 0.001000, 0.22127000, 0.01942500, 0.03911700, -0.00207300000, -0.00036000000, -0.00015700000
273375.60, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.512607, 1.715823, 326.650743, -0.003000, 0.001000, -0.002000, -0.06089400, -0.04385900, 0.09449700, -0.00022700000, -0.00073700000, -0.00057800000
273375.70, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.513837, 1.715007, 326.649840, 0.003000, -0.002000, 0.003000, -0.13739000, 0.01300700, -0.18607700, 0.00129000000, 0.00116000000, 0.00071400000
273375.80, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.517585, 1.715032, 326.650491, -0.004000, -0.001000, -0.000000, 0.24029700, 0.08615500, 0.16887900, -0.00216700000, -0.00073800000, -0.00043200000
273375.90, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.517116, 1.714936, 326.649692, 0.000000, -0.001000, 0.001000, -0.14697200, -0.07807400, -0.04613500, 0.00048100000, 0.00101400000, -0.00017600000
273376.00, 2032, 35.62931853, 139.78712595, 44.6995, -3963426.7981, 3350882.1576, 3694865.5458, -1.518249, 1.714892, 326.649872, 0.001000, -0.003000, 0.004000, -0.02303700, -0.00904800, -0.17597800, -0.00004200000, 0.00116400000, 0.00055700000
273376.10, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5458, -1.525163, 1.713767, 326.649734, -0.007000, 0.001000, -0.003000, 0.19322700, 0.07045700, 0.18185300, -0.00237500000, -0.00190700000, -0.00078300000
273376.20, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5457, -1.529971, 1.713142, 326.648250, 0.001000, -0.001000, 0.001000, -0.18326200, -0.01508300, -0.11714900, 0.00095800000, 0.00079500000, 0.00029100000
273376.30, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5458, -1.530781, 1.714441, 326.649066, -0.000000, -0.003000, 0.002000, 0.10549900, -0.00233100, -0.11184900, -0.00083900000, 0.00040100000, 0.00022400000
273376.40, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5457, -1.532232, 1.713213, 326.648384, -0.004000, 0.003000, -0.005000, 0.08517800, 0.01529600, 0.17200200, -0.00045300000, -0.00237500000, -0.00076900000
273376.50, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5458, -1.531664, 1.714150, 326.648080, 0.003000, -0.001000, 0.001000, -0.16495200, -0.00006200, -0.16686400, 0.00179600000, 0.00105800000, 0.00080200000
273376.60, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5458, -1.532549, 1.713462, 326.649207, -0.003000, -0.000000, 0.000000, 0.18998100, 0.03869100, 0.02878600, -0.00152700000, -0.00112700000, -0.00035800000
273376.70, 2032, 35.62931853, 139.78712595, 44.6993, -3963426.7980, 3350882.1576, 3694865.5457, -1.531186, 1.710694, 326.648276, -0.001000, 0.001000, -0.002000, -0.06695200, -0.05192200, 0.13191000, 0.00033900000, -0.00047100000, -0.00041500000
273376.80, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5457, -1.528646, 1.712090, 326.649150, 0.005000, -0.002000, 0.002000, -0.14820000, 0.02058800, -0.17042700, 0.00215000000, 0.00146800000, 0.00094500000
273376.90, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1576, 3694865.5457, -1.528364, 1.712958, 326.649443, -0.004000, -0.001000, -0.000000, 0.26639200, 0.07249800, 0.13646700, -0.00207900000, -0.00084200000, -0.00066400000
273377.00, 2032, 35.62931853, 139.78712595, 44.6993, -3963426.7980, 3350882.1575, 3694865.5457, -1.526708, 1.710959, 326.649055, 0.001000, 0.001000, 0.001000, -0.14500600, -0.06965700, 0.00483000, 0.00095900000, 0.00067900000, 0.00008700000
273377.10, 2032, 35.62931853, 139.78712595, 44.6993, -3963426.7979, 3350882.1574, 3694865.5457, -1.520026, 1.708080, 326.650928, 0.004000, -0.001000, 0.003000, -0.07946600, 0.01622000, -0.15141600, 0.00183000000, 0.00141500000, 0.00052500000
273377.20, 2032, 35.62931853, 139.78712595, 44.6992, -3963426.7979, 3350882.1575, 3694865.5457, -1.519443, 1.707242, 326.649614, -0.004000, -0.001000, -0.003000, 0.19683800, 0.04584800, 0.21381700, -0.00155300000, -0.00073800000, -0.00087700000
273377.30, 2032, 35.62931853, 139.78712595, 44.6994, -3963426.7980, 3350882.1575, 3694865.5457, -1.524449, 1.711663, 326.649179, -0.000000, -0.002000, 0.001000, -0.15242100, -0.03409900, -0.13085700, 0.00005700000, 0.00125200000, 0.00053400000
